epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.129,0.9828,3.77953,1.23317,0.02803,0.1568,0.01915,0.00985,1.36415,4.12193,1.57501,0.000110165,0.000110165,0.000110165
2,290.15,0.76501,2.44081,1.14212,0.042,0.62622,0.1023,0.07779,1.11409,3.27251,1.32806,0.000216786,0.000216786,0.000216786
3,419.935,0.64981,1.7882,1.11528,0.47854,0.10333,0.13681,0.11104,1.15411,3.65334,1.34,0.000319012,0.000319012,0.000319012
4,544.642,0.60452,1.49808,1.09439,0.25175,0.38631,0.23737,0.19769,1.14034,3.07096,1.39642,0.00031322,0.00031322,0.00031322
5,671.411,0.54956,1.3264,1.0657,0.21811,0.37477,0.24604,0.19855,1.29189,3.4961,1.67436,0.000306626,0.000306626,0.000306626
6,814.892,0.52866,1.25781,1.05596,0.16158,0.38683,0.2534,0.20728,1.08702,3.27426,1.3652,0.000300033,0.000300033,0.000300033
7,939.28,0.48884,1.15234,1.03262,0.36439,0.40614,0.35004,0.28997,1.11726,2.90021,1.40879,0.00029344,0.00029344,0.00029344
8,1067.51,0.4842,1.13061,1.03786,0.2491,0.52603,0.36496,0.28849,1.40086,3.13202,1.78474,0.000286846,0.000286846,0.000286846
9,1229.26,0.45992,1.04536,1.01729,0.20225,0.52812,0.36677,0.31897,1.06344,2.98062,1.43527,0.000280253,0.000280253,0.000280253
10,1493.97,0.4652,1.0279,1.02794,0.35998,0.56138,0.40088,0.32405,1.11024,3.01977,1.44847,0.000273659,0.000273659,0.000273659
11,1756.07,0.43145,0.97264,1.00379,0.60751,0.3181,0.41497,0.35536,1.00721,2.88685,1.34951,0.000267066,0.000267066,0.000267066
12,2002.53,0.41715,0.92356,0.99511,0.49775,0.42711,0.4534,0.39565,1.02901,2.70205,1.30833,0.000260473,0.000260473,0.000260473
13,2232.48,0.42439,0.91073,1.00349,0.34053,0.46939,0.42279,0.36107,1.05461,2.97728,1.36025,0.000253879,0.000253879,0.000253879
14,2473.57,0.41497,0.89535,1.00242,0.25715,0.56807,0.45385,0.38773,1.02105,2.97659,1.35438,0.000247286,0.000247286,0.000247286
15,2706.09,0.38459,0.85784,0.97809,0.3003,0.67088,0.52816,0.45787,1.03933,2.85953,1.37386,0.000240692,0.000240692,0.000240692
16,2843.35,0.39699,0.86418,0.98578,0.48645,0.49491,0.53086,0.4642,1.05742,3.04755,1.32441,0.000234099,0.000234099,0.000234099
17,2948.3,0.37072,0.80016,0.96777,0.50165,0.48831,0.5606,0.47817,1.10668,2.94335,1.41763,0.000227506,0.000227506,0.000227506
18,3052.4,0.37211,0.82292,0.97033,0.43893,0.54578,0.59082,0.50697,1.05022,2.7425,1.40883,0.000220912,0.000220912,0.000220912
19,3158.92,0.38483,0.7877,0.9867,0.35824,0.63006,0.54749,0.47628,1.04496,2.97685,1.41631,0.000214319,0.000214319,0.000214319
20,3382.51,0.35207,0.75606,0.9564,0.49227,0.56694,0.61766,0.5463,1.09349,2.95364,1.50587,0.000207725,0.000207725,0.000207725
21,3617.27,0.35677,0.72955,0.96759,0.38964,0.61332,0.60097,0.53519,0.97299,2.73472,1.34025,0.000201132,0.000201132,0.000201132
22,3830.56,0.36674,0.74643,0.96119,0.44687,0.67535,0.65062,0.56991,1.06612,2.87907,1.42347,0.000194539,0.000194539,0.000194539
23,4088.02,0.34839,0.71981,0.95982,0.60751,0.55154,0.6457,0.58035,1.11535,2.94969,1.46986,0.000187945,0.000187945,0.000187945
24,4349.14,0.35342,0.72831,0.9585,0.507,0.62783,0.68068,0.61347,1.07887,2.81647,1.46407,0.000181352,0.000181352,0.000181352
25,4563.07,0.35445,0.74508,0.96035,0.51495,0.64629,0.6317,0.56326,1.09277,3.00572,1.39833,0.000174758,0.000174758,0.000174758
26,4674.12,0.33842,0.6776,0.94983,0.59369,0.61144,0.67954,0.61482,1.02331,2.95899,1.41051,0.000168165,0.000168165,0.000168165
27,4822.14,0.33815,0.69475,0.95893,0.52675,0.65894,0.70267,0.6242,1.03579,2.82673,1.37275,0.000161572,0.000161572,0.000161572
28,4920.78,0.33293,0.67416,0.95907,0.64063,0.60839,0.70362,0.62576,0.99341,3.21955,1.39077,0.000154978,0.000154978,0.000154978
29,5027.47,0.32874,0.67974,0.95022,0.60677,0.62841,0.71791,0.65088,1.04608,2.98138,1.41354,0.000148385,0.000148385,0.000148385
30,5131.67,0.33144,0.66799,0.95443,0.6323,0.63865,0.74286,0.65867,1.01166,2.72053,1.36608,0.000141791,0.000141791,0.000141791
31,5274.18,0.32265,0.63106,0.95009,0.76427,0.60278,0.72,0.6468,1.01237,2.85596,1.35236,0.000135198,0.000135198,0.000135198
32,5456.98,0.3257,0.62702,0.94856,0.67557,0.59812,0.73696,0.664,1.01709,3.19984,1.37524,0.000128605,0.000128605,0.000128605
33,5643.13,0.32708,0.63305,0.94631,0.57765,0.63255,0.72539,0.64322,0.97295,3.18202,1.34211,0.000122011,0.000122011,0.000122011
34,5839.28,0.30807,0.61191,0.94115,0.64963,0.69426,0.74628,0.68367,0.99417,2.78914,1.34334,0.000115418,0.000115418,0.000115418
35,6076.46,0.31522,0.61962,0.94838,0.54362,0.68931,0.74487,0.67972,0.9822,2.92574,1.37775,0.000108824,0.000108824,0.000108824
36,6317.49,0.31788,0.61809,0.94513,0.6521,0.6429,0.75239,0.67973,1.08313,2.87599,1.4345,0.000102231,0.000102231,0.000102231
37,6558.14,0.31297,0.60772,0.94816,0.69613,0.64466,0.74574,0.66255,1.05449,2.99052,1.39209,9.56376e-05,9.56376e-05,9.56376e-05
38,6810.33,0.30325,0.5722,0.9371,0.67969,0.64409,0.73976,0.67297,1.0063,2.93459,1.36559,8.90442e-05,8.90442e-05,8.90442e-05
39,7073.86,0.3156,0.59208,0.94544,0.77267,0.59204,0.73705,0.67196,0.95163,2.95267,1.34305,8.24508e-05,8.24508e-05,8.24508e-05
40,7338.71,0.29695,0.55767,0.93744,0.76522,0.65046,0.74913,0.69022,0.94118,3.13269,1.33317,7.58574e-05,7.58574e-05,7.58574e-05
41,7601.97,0.22368,0.51253,0.87,0.65238,0.70533,0.78122,0.71062,1.05392,3.05797,1.45776,6.9264e-05,6.9264e-05,6.9264e-05
42,7749.37,0.21252,0.46853,0.85756,0.6578,0.66325,0.75939,0.69397,1.03353,2.91877,1.41406,6.26706e-05,6.26706e-05,6.26706e-05
