epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.007,0.9828,3.77953,1.23317,0.02803,0.1568,0.01915,0.00985,1.36415,4.12193,1.57501,0.000110165,0.000110165,0.000110165
2,503.977,0.76501,2.44081,1.14212,0.042,0.62622,0.1023,0.07779,1.11409,3.27251,1.32806,0.000216786,0.000216786,0.000216786
3,717.563,0.64981,1.7882,1.11528,0.47854,0.10333,0.13681,0.11104,1.15411,3.65334,1.34,0.000319012,0.000319012,0.000319012
4,897.843,0.60452,1.49808,1.09439,0.25175,0.38631,0.23737,0.19769,1.14034,3.07096,1.39642,0.00031322,0.00031322,0.00031322
5,1075.05,0.54956,1.3264,1.0657,0.21811,0.37477,0.24604,0.19855,1.29189,3.4961,1.67436,0.000306626,0.000306626,0.000306626
6,1251.85,0.52866,1.25781,1.05596,0.16158,0.38683,0.2534,0.20728,1.08702,3.27426,1.3652,0.000300033,0.000300033,0.000300033
7,1433.44,0.48884,1.15234,1.03262,0.36439,0.40614,0.35004,0.28997,1.11726,2.90021,1.40879,0.00029344,0.00029344,0.00029344
8,1613.91,0.4842,1.13061,1.03786,0.2491,0.52603,0.36496,0.28849,1.40086,3.13202,1.78474,0.000286846,0.000286846,0.000286846
9,1977.79,0.45992,1.04536,1.01729,0.20225,0.52812,0.36677,0.31897,1.06344,2.98062,1.43527,0.000280253,0.000280253,0.000280253
10,2183.08,0.4652,1.0279,1.02794,0.35998,0.56138,0.40088,0.32405,1.11024,3.01977,1.44847,0.000273659,0.000273659,0.000273659
11,6059.18,0.43145,0.97264,1.00379,0.60751,0.3181,0.41497,0.35536,1.00721,2.88685,1.34951,0.000267066,0.000267066,0.000267066
12,6963.05,0.41715,0.92356,0.99511,0.49775,0.42711,0.4534,0.39565,1.02901,2.70205,1.30833,0.000260473,0.000260473,0.000260473
13,8630.33,0.42439,0.91073,1.00349,0.34053,0.46939,0.42279,0.36107,1.05461,2.97728,1.36025,0.000253879,0.000253879,0.000253879
14,10749.8,0.41497,0.89535,1.00242,0.25715,0.56807,0.45385,0.38773,1.02105,2.97659,1.35438,0.000247286,0.000247286,0.000247286
15,10910.9,0.38459,0.85784,0.97809,0.3003,0.67088,0.52816,0.45787,1.03933,2.85953,1.37386,0.000240692,0.000240692,0.000240692
