epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.806,1.83465,5.08251,1.5527,0,0,0,0,1.53315,5.12025,1.35635,8.645e-05,8.645e-05,8.645e-05
2,38.5941,1.46779,4.65191,1.29948,0,0,0,0,1.22351,4.91808,1.12292,0.000173936,0.000173936,0.000173936
3,55.1617,1.20351,4.37501,1.16824,0.02745,0.15,0.05482,0.03206,1.08327,4.58996,1.02799,0.000257819,0.000257819,0.000257819
4,88.4632,1.27617,3.85988,1.17796,0.016,0.60938,0.20296,0.10918,1.10865,3.95237,1.01547,0.000338099,0.000338099,0.000338099
5,105.092,1.25437,3.72803,1.16458,0.48707,0.44583,0.20901,0.13555,1.12178,3.81979,1.03964,0.000414774,0.000414774,0.000414774
6,134.049,1.20391,3.50999,1.18654,0.35248,0.38623,0.21068,0.14831,1.10353,3.84464,1.03467,0.000409955,0.000409955,0.000409955
7,151.546,1.10606,3.27491,1.10973,0.4735,0.27589,0.26707,0.19433,1.17557,3.34124,1.11532,0.000400946,0.000400946,0.000400946
8,167.344,1.10163,3.23989,1.12708,0.52764,0.29507,0.37405,0.26697,1.22584,3.24515,1.14809,0.000391937,0.000391937,0.000391937
9,183.288,1.17547,3.1016,1.14363,0.24513,0.48439,0.44082,0.28819,1.21849,2.95528,1.11494,0.000382928,0.000382928,0.000382928
10,200.166,1.18686,2.99026,1.11798,0.31289,0.4747,0.38506,0.26231,1.21483,2.93696,1.15827,0.000373919,0.000373919,0.000373919
11,216.293,1.05297,2.85012,1.07208,0.25409,0.51148,0.32808,0.21463,1.21645,3.06313,1.18093,0.00036491,0.00036491,0.00036491
12,232.017,1.14304,2.81693,1.09903,0.33923,0.42588,0.35585,0.2512,1.15175,3.05327,1.13792,0.000355901,0.000355901,0.000355901
13,247.773,1.14278,2.75199,1.11488,0.32015,0.43542,0.35141,0.2629,1.17011,3.26113,1.16431,0.000346892,0.000346892,0.000346892
14,263.472,1.0332,2.52307,1.08956,0.49078,0.33984,0.36858,0.2648,1.18736,3.21696,1.18376,0.000337883,0.000337883,0.000337883
15,278.93,1.152,2.59775,1.11529,0.46434,0.44808,0.52354,0.38683,1.10698,2.98581,1.12301,0.000328874,0.000328874,0.000328874
16,294.374,1.00056,2.43904,1.05937,0.42959,0.44629,0.55873,0.42051,1.03299,2.78005,1.05328,0.000319865,0.000319865,0.000319865
17,309.928,1.00739,2.31521,1.07969,0.33968,0.57033,0.53877,0.4243,0.96321,2.61565,1.01926,0.000310856,0.000310856,0.000310856
18,325.563,0.94795,2.21676,1.01076,0.3819,0.58769,0.51552,0.38798,0.9718,2.60529,1.01673,0.000301847,0.000301847,0.000301847
19,341.604,0.99298,2.19256,1.04052,0.38203,0.61321,0.59208,0.45644,0.96606,2.47573,1.03195,0.000292838,0.000292838,0.000292838
20,357.869,0.90628,2.10161,1.00379,0.4487,0.59834,0.61706,0.47587,0.97504,2.40431,1.02985,0.000283829,0.000283829,0.000283829
